"web_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"extratos","to",13.9882876197497,"extrat",12.8788301944733,"extrat",1.67183616558711,"ext","extr","extra","extrat","extrato","extratos"
"extração","extração",13.9892721215884,"extraçã",12.879665851593,"extr",1.67195119460424,"ext","extr","extra","extraç","extraçã","extração"
"extremismo","extremo",13.9903543591499,"extrem",12.8805866241455,"extrem",1.6720770517985,"ext","extr","extre","extrem","extremi","extremis"
"extremismos","extremo",13.9913250088692,"extrem",12.8814177513123,"extrem",1.67220555941264,"ext","extr","extre","extrem","extremi","extremis"
"extremos","extremo",13.9923096338908,"extrem",12.8822357654572,"extr",1.67235076030095,"ext","extr","extre","extrem","extremo","extremos"
"exéquias","exéquias",13.9933869759242,"exéqu",12.8830533027649,"exequ",1.67250978151957,"exé","exéq","exéqu","exéqui","exéquia","exéquias"
"fabricado","fabricar",13.9948702136676,"fabric",12.8845739364624,"fabric",1.67262537876765,"fab","fabr","fabri","fabric","fabrica","fabricad"
"fabricados","fabricar",13.9959776719411,"fabric",12.8853938579559,"fabric",1.67275938193003,"fab","fabr","fabri","fabric","fabrica","fabricad"
"fabricantes","fabricar",13.9969580491384,"fabric",12.8862073421478,"fabric",1.6728949824969,"fab","fabr","fabri","fabric","fabrica","fabrican"
"fabulosa","fabuloso",13.997943508625,"fabul",12.8870191574097,"fabul",1.6730225721995,"fab","fabu","fabul","fabulo","fabulos","fabulosa"
"faca","faco",13.9990259846052,"fac",12.887832403183,"fac",1.67316977183024,"fac","faca","faca","faca","faca","faca"
"facas","faco",13.9999995430311,"fac",12.888644695282,"fac",1.67333280642827,"fac","faca","facas","facas","facas","facas"
"faces","face",14.001592306296,"fac",12.8901016712189,"fac",1.67350820302963,"fac","face","faces","faces","faces","faces"
"fachada","fachar",14.0025738795598,"fach",12.8909142017365,"fach",1.67364730834961,"fac","fach","facha","fachad","fachada","fachada"
"faciais","facial",14.0042748689651,"fac",12.8923687934875,"fac",1.67378096183141,"fac","faci","facia","faciai","faciais","faciais"
"facilidades","facilidade",14.0052786389987,"facil",12.8931832313538,"facil",1.67391050656637,"fac","faci","facil","facili","facilid","facilida"
"facilitam","facilitar",14.0062974174817,"facilit",12.8939967155457,"facilit",1.6740430355072,"fac","faci","facil","facili","facilit","facilita"
"facilitava","facilitar",14.0073927084605,"facilit",12.8948123455048,"facilit",1.67417868375778,"fac","faci","facil","facili","facilit","facilita"
"facilitou","facilitar",14.0083786686261,"facilit",12.9031987190247,"facilit",1.67431818644206,"fac","faci","facil","facili","facilit","facilito"
"factores","factorar",14.009989062945,"factor",12.9047114849091,"fac",1.67444761991501,"fac","fact","facto","factor","factore","factores"
"facultativo","facultativo",14.0109792510668,"facult",12.9055275917053,"facult",1.67456158002218,"fac","facu","facul","facult","faculta","facultat"
"facultativos","facultativo",14.0119748870532,"facult",12.9063377380371,"facult",1.6746958176295,"fac","facu","facul","facult","faculta","facultat"
"fagulha","fagulhar",14.0146270314852,"fagulh",12.909008026123,"fagulh",1.67484303315481,"fag","fagu","fagul","fagulh","fagulha","fagulha"
"faladas","falar",14.016762026151,"fal",12.9110434055328,"fal",1.67500006755193,"fal","fala","falad","falada","faladas","faladas"
"falaremos","falar",14.017759056886,"fal",12.9118590354919,"fal",1.67526057163874,"fal","fala","falar","falare","falarem","falaremo"
"falará","falar",14.0188522775968,"fal",12.9126636981964,"fal",1.67548920710882,"fal","fala","falar","falará","falará","falará"
"falavam","falar",14.0198390603065,"fal",12.913459777832,"fal",1.67564029693604,"fal","fala","falav","falava","falavam","falavam"
"fale","falar",14.0208372712135,"fal",12.9142565727234,"fal",1.67578919728597,"fal","fale","fale","fale","fale","fale"
"falecem","falecer",14.0219255208969,"falec",12.9150516986847,"falec",1.67620689471563,"fal","fale","falec","falece","falecem","falecem"
"falecer","falecer",14.0229150772095,"falec",12.9158623218536,"falec",1.67634528875351,"fal","fale","falec","falece","falecer","falecer"
"falecida","falecer",14.0239022016525,"falec",12.9166679382324,"falec",1.67647876342138,"fal","fale","falec","faleci","falecid","falecida"
"falecimentos","falecer",14.0249828974406,"falec",12.9174778461456,"falec",1.67662815650304,"fal","fale","falec","faleci","falecim","falecime"
"falem","falar",14.0259781638781,"fal",12.918274641037,"fal",1.67677288850149,"fal","fale","falem","falem","falem","falem"
"falha","falhar",14.0270662585894,"falh",12.919075012207,"falh",1.67692166964213,"fal","falh","falha","falha","falha","falha"
"falhadas","falhar",14.0280470967293,"falh",12.9198861122131,"falh",1.67710137367249,"fal","falh","falha","falhad","falhada","falhadas"
"falhando","falhar",14.0290555477142,"falh",12.9206833839417,"falh",1.67729900280635,"fal","falh","falha","falhan","falhand","falhando"
"falharam","falhar",14.0301430145899,"falh",12.9214811325073,"falh",1.67744056383769,"fal","falh","falha","falhar","falhara","falharam"
"falharem","falhar",14.0311237812042,"falh",12.9222822189331,"falh",1.67757267951965,"fal","falh","falha","falhar","falhare","falharem"
"falhasse","falhar",14.0321115016937,"falh",12.9230833053589,"falh",1.67772572040558,"fal","falh","falha","falhas","falhass","falhasse"
"falido","falir",14.0337081988653,"fal",12.9245693683624,"fal",1.67783685127894,"fal","fali","falid","falido","falido","falido"
"falsidades","falso",14.0347046216329,"falsidad",12.9253809452057,"fals",1.67796810865402,"fal","fals","falsi","falsid","falsida","falsidad"
"faltaram","faltar",14.0357907136281,"falt",12.9261844158173,"falt",1.67810207207998,"fal","falt","falta","faltar","faltara","faltaram"
"faltará","faltar",14.0367771188418,"falt",12.9269921779633,"falt",1.67823226054509,"fal","falt","falta","faltar","faltará","faltará"
"faltava","faltar",14.0377655863762,"falt",12.9278054237366,"falt",1.67836849689484,"fal","falt","falta","faltav","faltava","faltava"
"faltavam","faltar",14.038851304849,"falt",12.9286134243011,"falt",1.67850656112035,"fal","falt","falta","faltav","faltava","faltavam"
"faltes","faltar",14.0398392875989,"falt",12.9294333457947,"falt",1.67865366141001,"fal","falt","falte","faltes","faltes","faltes"
"falácia","falácia",14.0408270001411,"falác",12.9302489757538,"falac",1.67879576683044,"fal","falá","falác","faláci","falácia","falácia"
"falésias","falésia",14.0419082403183,"falés",12.9310574531555,"fales",1.67895117600759,"fal","falé","falés","falési","falésia","falésias"
"fama","fama",14.0428978244464,"fam",12.9318687915802,"fam",1.67910540898641,"fam","fama","fama","fama","fama","fama"
"famalicense","famalicense",14.0439864913623,"famalicens",12.9326877593994,"famalic",1.67922731637955,"fam","fama","famal","famali","famalic","famalice"
"famosas","famoso",14.0460499207179,"famos",12.9347820281982,"fam",1.6793673435847,"fam","famo","famos","famosa","famosas","famosas"
"fantasia","fantasiar",14.0471589684486,"fantas",12.935599565506,"fantas",1.6795108517011,"fan","fant","fanta","fantas","fantasi","fantasia"
"fantasmas","fantasmar",14.0481552879016,"fantasm",12.9364166259766,"fantasm",1.67967532475789,"fan","fant","fanta","fantas","fantasm","fantasma"
"fantásticos","fantástico",14.049144756794,"fantást",12.9372308254242,"fant",1.67980223496755,"fan","fant","fantá","fantás","fantást","fantásti"
"fardado","fardar",14.050235303243,"fard",12.9380362033844,"fard",1.67991767326991,"far","fard","farda","fardad","fardado","fardado"
"fardos","fardos",14.0512232303619,"fard",12.9388356208801,"fard",1.68006709019343,"far","fard","fardo","fardos","fardos","fardos"
"farmacêuticas","farmacêutico",14.0522087375323,"farmacêut",12.9396579265594,"farmac",1.68021444876989,"far","farm","farma","farmac","farmacê","farmacêu"
"farmacêutico","farmacêutico",14.0532900412877,"farmacêut",12.9404754638672,"farmac",1.68033272822698,"far","farm","farma","farmac","farmacê","farmacêu"
"farmácia","farmácia",14.0542801062266,"farmác",12.9412801265717,"farmac",1.68047169049581,"far","farm","farmá","farmác","farmáci","farmácia"
"farrapos","farrapos",14.0558849533399,"farrap",12.9427332878113,"farrap",1.68062215248744,"far","farr","farra","farrap","farrapo","farrapos"
"faróis","farol",14.0568762342135,"faró",12.943549156189,"farol",1.68077427943548,"far","faró","farói","faróis","faróis","faróis"
"fascina","fascinar",14.0578641494115,"fascin",12.9443736076355,"fascin",1.6809253970782,"fas","fasc","fasci","fascin","fascina","fascina"
"fascinada","fascinar",14.0589433352153,"fascin",12.9451823234558,"fascin",1.68105907440186,"fas","fasc","fasci","fascin","fascina","fascinad"
"fase","fase",14.0599364439646,"fas",12.9459972381592,"fas",1.6812004049619,"fas","fase","fase","fase","fase","fase"
"fasquia","fasquiar",14.0610236565272,"fasqu",12.9468109607697,"fasqu",1.68133733272552,"fas","fasq","fasqu","fasqui","fasquia","fasquia"
"fatais","fatal",14.0620206236839,"fat",12.9476177692413,"fatal",1.68149238824844,"fat","fata","fatai","fatais","fatais","fatais"
"fatia","fatiar",14.0630160013835,"fat",12.9484293460846,"fati",1.68164084752401,"fat","fati","fatia","fatia","fatia","fatia"
"fato","fato",14.0641149242719,"fat",12.9492344856262,"fat",1.68177861769994,"fat","fato","fato","fato","fato","fato"
"faturação","faturação",14.0651012976964,"fatur",12.9500410556793,"fatur",1.68192579348882,"fat","fatu","fatur","fatura","faturaç","faturaçã"
"faturou","faturar",14.0660851875941,"fatur",12.9508442878723,"fatur",1.68205860455831,"fat","fatu","fatur","faturo","faturou","faturou"
"favorece","favorecer",14.0671696345011,"favorec",12.9516577720642,"favorec",1.68245687484741,"fav","favo","favor","favore","favorec","favorece"
"favorecer","favorecer",14.0681564370791,"favorec",12.952472448349,"favorec",1.68261157671611,"fav","favo","favor","favore","favorec","favorece"
"fax","fax",14.0691495498021,"fax",12.9532661437988,"fax",1.68275327285131,"fax","fax","fax","fax","fax","fax"
"fazem","fazer",14.0702522277832,"faz",12.9540617465973,"faz",1.68288813829422,"faz","faze","fazem","fazem","fazem","fazem"
"fazenda","fazenda",14.0712422251701,"fazend",12.9548723697662,"fazend",1.68303366502126,"faz","faze","fazen","fazend","fazenda","fazenda"
"fazermos","fazer",14.0722354809443,"faz",12.9556810855865,"faz",1.6831914305687,"faz","faze","fazer","fazerm","fazermo","fazermos"
"fazes","fazer",14.0733159104983,"faz",12.9564881324768,"faz",1.68334161837896,"faz","faze","fazes","fazes","fazes","fazes"
"febres","febre",14.0748272498449,"febr",12.9579610824585,"febr",1.68349786996841,"feb","febr","febre","febres","febres","febres"
"fechadura","fechadura",14.0759298364321,"fechadur",12.9587726593018,"fechad",1.68362407286962,"fec","fech","fecha","fechad","fechadu","fechadur"
"fecham","fechar",14.0769184827805,"fech",12.9595711231232,"fech",1.68375684022903,"fec","fech","fecha","fecham","fecham","fecham"
"fechamento","fechar",14.0779050389926,"fechament",12.9604003429413,"fech",1.68387051423391,"fec","fech","fecha","fecham","fechame","fechamen"
"fecharem","fechar",14.0789951483409,"fech",12.9612195491791,"fech",1.68401270707448,"fec","fech","fecha","fechar","fechare","fecharem"
